index,sentence,label
0,"By January 1st, 2037, Tesla will have been the first company with 1 million vehicles that are capable of SAE Level 4 autonomy on over 90% of public roads in the contiguous United States, with human-level safety or better, and this capability will be usable by the general public commercially.",1
1,An annual average temperature anomaly value above the 1850-1899 baseline will be published in the Berkeley Earth Global Temperature series as 2.0C or higher on or before the 2037 value (published in 2038).,1
2,Private Nonfarm business productivity growth will average over 1.8 percent per year from the first quarter (Q1) of 2020 to the last quarter of 2029 (Q4).,1
3,"No Republican will be President of the USA before December 30, 2039.",1
4,The market capitalization of Berkshire Hathaway will be greater than Tesla on Warren Buffett's 100th birthday.,1
5,A bitcoin will be worth less than $1000US by the end of 2025.,1
6,By 2035 there will be at least 10 people living on Mars for a period of more than 2 months.,1
7,"Between 2021 and the end of 2030, annual fossil fuel emissions (excluding carbonation) will not exceed annual fossil fuel emissions (excluding carbonation) from 2019.",1
8,Nuclear energy will decline as a proportion of global electricity generation over the 2020s.,1
9,Renewable Energy will comprise at least 50% of the energy in Australia’s National Electricity Market no later than the end of 2030.,1
10,"Over a ten-year period commencing on July 1, 2020, and ending on June 30, 2030, a portfolio of index funds invested broadly in US and International equities will outperform a portfolio managed by a sophisticated individual investor selecting stocks and funds.",1
11,Slaughterhouses will be banned in the United Kingdom by 2050.,1
12,"Berkshire Hathaway’s total shareholder return including dividends and possible spin-offs will be greater than the S&P 500 total return including dividends over the 20 years period of May 3rd, 2019 to May 3rd, 2039.",1
13,"By Dec 31st 2020, fewer than 30% of Americans with home broadband will be on packages that are significantly biased to specified sites (i.e.",1
15,The Equal Rights Amendment to the U.S. Constitution will be passed by the end of 2023.,1
16,There will be at least one 2022 FIFA World Cup match which will have more people watching live via virtual reality than people watching it in person.,1
17,"By the end of 2026, there will be less than 2 active commercial wind tunnels in the US",1
18,"The annual rate of US labor productivity growth for the year 02025, as measured by the U.S. Bureau of Labor Statistics, will be 2 percent or above.",1
19,"Clinicians and neuroscientists will develop well validated brain-activity measurement technologies establishing with a high degree of certainty whether individual human subjects, such as anesthetized and neurological patients, are, at that moment, conscious.",1
